Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,2007,Males,20–24,56
Actual,Melanoma of the skin,2007,Males,25–29,86
Actual,Melanoma of the skin,2007,Males,30–34,156
Actual,Melanoma of the skin,2007,Males,35–39,191
Actual,Melanoma of the skin,2007,Males,40–44,243
Actual,Melanoma of the skin,2007,Males,45–49,402
Actual,Melanoma of the skin,2007,Males,50–54,528
Actual,Melanoma of the skin,2007,Males,55–59,676
Actual,Melanoma of the skin,2007,Males,60–64,737
Actual,Melanoma of the skin,2007,Males,65–69,708
Actual,Melanoma of the skin,2007,Males,70–74,681
Actual,Melanoma of the skin,2007,Males,75–79,646
Actual,Melanoma of the skin,2007,Males,80–84,541
Actual,Melanoma of the skin,2007,Males,85–89,271
Actual,Melanoma of the skin,2007,Males,90+,99
Actual,Melanoma of the skin,2008,Males,00–04,0
Actual,Melanoma of the skin,2008,Males,05–09,1
Actual,Melanoma of the skin,2008,Males,10–14,3
Actual,Melanoma of the skin,2008,Males,15–19,22
Actual,Melanoma of the skin,2008,Males,20–24,59
Actual,Melanoma of the skin,2008,Males,25–29,87
Actual,Melanoma of the skin,2008,Males,30–34,140
Actual,Melanoma of the skin,2008,Males,35–39,252
Actual,Melanoma of the skin,2008,Males,40–44,312
Actual,Melanoma of the skin,2008,Males,45–49,409
Actual,Melanoma of the skin,2008,Males,50–54,568
Actual,Melanoma of the skin,2008,Males,55–59,668
Actual,Melanoma of the skin,2008,Males,60–64,801
Actual,Melanoma of the skin,2008,Males,65–69,775
Actual,Melanoma of the skin,2008,Males,70–74,660
Actual,Melanoma of the skin,2008,Males,75–79,689
Actual,Melanoma of the skin,2008,Males,80–84,651
Actual,Melanoma of the skin,2008,Males,85–89,318
Actual,Melanoma of the skin,2008,Males,90+,110
Actual,Melanoma of the skin,2009,Males,00–04,1
Actual,Melanoma of the skin,2009,Males,05–09,0
Actual,Melanoma of the skin,2009,Males,10–14,9
Actual,Melanoma of the skin,2009,Males,15–19,27
Actual,Melanoma of the skin,2009,Males,20–24,48
Actual,Melanoma of the skin,2009,Males,25–29,100
Actual,Melanoma of the skin,2009,Males,30–34,150
Actual,Melanoma of the skin,2009,Males,35–39,255
Actual,Melanoma of the skin,2009,Males,40–44,296
Actual,Melanoma of the skin,2009,Males,45–49,386
Actual,Melanoma of the skin,2009,Males,50–54,555
Actual,Melanoma of the skin,2009,Males,55–59,692
Actual,Melanoma of the skin,2009,Males,60–64,809
Actual,Melanoma of the skin,2009,Males,65–69,758
Actual,Melanoma of the skin,2009,Males,70–74,793
Actual,Melanoma of the skin,2009,Males,75–79,713
Actual,Melanoma of the skin,2009,Males,80–84,570
Actual,Melanoma of the skin,2009,Males,85–89,333
Actual,Melanoma of the skin,2009,Males,90+,110
Actual,Melanoma of the skin,2010,Males,00–04,1
Actual,Melanoma of the skin,2010,Males,05–09,0
Actual,Melanoma of the skin,2010,Males,10–14,2
Actual,Melanoma of the skin,2010,Males,15–19,18
